Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
" Ortega, R",COL,CF,2,4,0,2,0,0,0,0,1,2,1,0,0.5,0.667,0.5,1.167,0,1,0,0,2,0,0,0,0,-.--,27,6
" Perez, H",DET,2B,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,1,0,*.**,4,2
" Villanueva, C",TOR,P,3,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,1,0,9,2
" Weaver, J",LAA,P,1,2,1,1,0,0,0,0,1,1,0,0,0.5,0.667,0.5,1.167,0,0,0,0,1,0,0,0,0,-.--,12,3
" Gimenez, H",CWS,C,5,11,1,5,0,0,0,1,0,3,0,0,0.455,0.455,0.455,0.909,0,0,0,0,5,0,0,1,2,0.5,39,11
" Romine, A",LAA,SS,12,17,2,7,0,0,0,1,3,3,1,0,0.412,0.5,0.412,0.912,0,0,1,0,7,0,0,4,4,1,76,21
" De La Rosa, J",COL,P,3,5,0,2,0,0,0,1,0,1,0,0,0.4,0.4,0.4,0.8,0,0,0,0,2,0,0,2,0,*.**,16,5
" Tomlin, J",CLE,P,2,5,0,2,0,0,0,0,0,3,0,0,0.4,0.4,0.4,0.8,0,0,0,0,2,0,0,0,0,-.--,17,5
" Vargas, J",SEA,P,2,5,2,2,0,0,0,1,1,2,0,0,0.4,0.5,0.4,0.9,0,0,0,0,2,0,0,1,0,*.**,25,6
" Johnson, D",CWS,1B,14,22,8,8,1,0,3,6,9,3,0,0,0.364,0.548,0.818,1.367,1,0,0,0,18,4,0,5,6,0.83,159,31
" Cabrera, M",SF,LF,113,459,84,159,25,10,11,60,36,63,13,5,0.346,0.39,0.516,0.906,4,0,1,5,237,46,8,151,100,1.51,1772,501
" Falu, I",KC,2B,24,85,14,29,6,1,0,7,4,9,0,2,0.341,0.371,0.435,0.806,0,0,2,0,37,7,2,33,18,1.83,342,91
" Frandsen, K",PHI,1B,55,195,24,66,10,3,2,14,9,18,0,1,0.338,0.383,0.451,0.834,2,5,1,0,88,15,4,74,42,1.76,768,210
" Votto, J",CIN,1B,111,374,59,126,44,0,14,56,94,85,5,3,0.337,0.474,0.567,1.041,18,5,0,2,212,58,8,90,83,1.08,2042,475
" Posey, B",SF,C,148,530,78,178,39,1,24,103,69,96,1,1,0.336,0.408,0.549,0.957,7,2,0,9,291,64,19,173,111,1.56,2599,610
" Avilan, L",ATL,P,31,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,0,2,0,13,3
" Casilla, S",SF,P,68,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,1,0,*.**,11,3
" Coleman, C",CHC,P,15,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,1,0,*.**,16,3
" Darvish, Y",TEX,P,1,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,1,0,*.**,10,3
" Federowicz, T",LAD,C,3,3,0,1,0,0,0,0,1,2,0,0,0.333,0.5,0.333,0.833,0,0,0,0,1,0,0,0,0,-.--,20,4
" Gorzelanny, T",WSH,P,44,6,0,2,0,0,0,1,1,1,0,0,0.333,0.429,0.333,0.762,0,0,0,0,2,0,0,1,2,0.5,21,7
" Harvey, M",NYM,P,10,18,0,6,2,0,0,3,0,7,0,0,0.333,0.333,0.444,0.778,0,0,3,0,8,2,0,6,2,3,62,21
" Hernandez, F",SEA,P,1,3,0,1,1,0,0,2,0,1,0,0,0.333,0.333,0.667,1,0,0,0,0,2,1,0,1,0,*.**,8,3
" Kozma, P",STL,SS,26,72,11,24,5,3,2,14,7,19,2,0,0.333,0.383,0.569,0.952,1,0,1,2,41,10,4,21,15,1.4,356,82
" Rogers, E",CLE,P,26,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,1,0,*.**,8,3
" Rosenberg, B",PHI,P,20,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667,0,0,1,0,1,0,0,1,1,1,9,4
" Ruf, D",PHI,LF,12,33,4,11,2,1,3,10,2,12,0,0,0.333,0.351,0.727,1.079,1,0,0,2,24,6,1,9,4,2.25,167,37
" Cabrera, M",DET,1B,161,622,109,205,40,0,44,139,66,98,4,1,0.33,0.393,0.606,0.999,17,3,0,6,377,84,28,182,171,1.06,2620,697
" McCutchen, A",PIT,CF,157,593,107,194,29,6,31,96,70,132,20,12,0.327,0.4,0.553,0.953,13,5,0,5,328,66,9,143,138,1.04,2612,673
" Trout, M",LAA,CF,139,559,129,182,27,8,30,83,67,139,49,5,0.326,0.399,0.564,0.963,4,6,0,7,315,65,7,140,112,1.25,2608,639
" Ruiz, C",PHI,C,114,372,56,121,32,0,16,68,29,50,4,0,0.325,0.394,0.54,0.935,6,16,0,4,201,48,6,115,96,1.2,1569,421
" Keppinger, J",TB,2B,115,385,46,125,15,1,9,40,24,31,1,0,0.325,0.367,0.439,0.806,0,4,1,4,169,25,14,149,99,1.51,1449,418
" Gardner, B",NYY,LF,16,31,7,10,2,0,0,3,5,7,2,2,0.323,0.417,0.387,0.804,0,0,1,0,12,2,0,6,9,0.67,150,37
" Dirks, A",DET,LF,88,314,56,101,18,5,8,35,23,53,1,1,0.322,0.37,0.487,0.857,2,2,3,2,153,31,4,78,91,0.86,1274,344
" Beltre, A",TEX,3B,156,604,95,194,33,2,36,102,36,82,1,0,0.321,0.359,0.561,0.921,8,5,0,9,339,71,8,157,188,0.84,2384,654
" Lucroy, J",MIL,C,96,316,46,101,17,4,12,58,22,44,4,1,0.32,0.368,0.513,0.881,1,4,1,3,162,33,12,94,93,1.01,1321,346
" Braun, R",MIL,LF,154,598,108,191,36,3,41,112,63,128,30,7,0.319,0.391,0.595,0.987,15,11,0,5,356,80,12,154,142,1.08,2537,677
" Mauer, J",MIN,C,147,545,81,174,31,4,10,85,90,88,8,4,0.319,0.416,0.446,0.861,10,2,1,3,243,45,23,205,105,1.95,2767,641
" Garcia, A",DET,RF,23,47,7,15,0,0,0,3,3,10,0,2,0.319,0.373,0.319,0.692,1,1,0,0,15,0,1,16,7,2.29,148,51
" Ortiz, D",BOS,DH,90,324,65,103,26,0,23,60,56,51,0,1,0.318,0.415,0.611,1.026,13,0,0,3,198,49,6,86,93,0.92,1498,383
" Jeter, D",NYY,SS,159,683,99,216,32,0,15,58,45,90,9,4,0.316,0.362,0.429,0.791,1,5,6,1,293,47,24,310,98,3.16,2740,740
" Young Jr., E",COL,RF,98,174,36,55,7,2,4,15,13,31,14,2,0.316,0.377,0.448,0.825,0,4,5,0,78,13,1,55,39,1.41,665,196
" Molina, Y",STL,C,138,505,65,159,28,0,22,76,45,55,12,3,0.315,0.373,0.501,0.874,4,5,3,5,253,50,10,149,160,0.93,1929,563
" Orr, P",PHI,2B,35,54,6,17,5,1,0,7,1,18,3,1,0.315,0.327,0.444,0.772,0,0,2,0,24,6,0,13,8,1.63,215,57
" Solano, J",WSH,C,12,35,6,11,3,0,2,6,2,5,1,0,0.314,0.351,0.571,0.923,1,0,0,0,20,5,0,14,5,2.8,136,37
" Paul, X",CIN,LF,55,86,8,27,5,1,2,7,9,18,4,2,0.314,0.379,0.465,0.844,1,0,1,0,40,8,2,24,20,1.2,376,96
" Reimold, N",BAL,LF,16,67,10,21,6,0,5,10,2,14,1,0,0.313,0.333,0.627,0.96,0,0,0,0,42,11,3,21,14,1.5,238,69
" Fielder, P",DET,1B,162,581,83,182,33,1,30,108,85,84,1,0,0.313,0.412,0.528,0.94,18,17,0,7,307,64,19,178,163,1.09,2558,690
" Hunter, T",LAA,CF,140,534,81,167,24,1,16,92,38,133,9,1,0.313,0.365,0.451,0.817,1,8,1,3,241,41,15,157,96,1.64,2087,584
" Butler, B",KC,DH,161,614,72,192,32,1,29,107,54,111,2,1,0.313,0.373,0.51,0.882,9,7,0,4,313,62,20,204,131,1.56,2591,679
" Cano, R",NYY,2B,161,627,105,196,48,1,33,94,61,96,3,2,0.313,0.379,0.55,0.929,10,7,0,2,345,82,22,217,142,1.53,2462,697
" Ruggiano, J",MIA,CF,91,288,38,90,23,1,13,36,29,84,14,8,0.313,0.374,0.535,0.909,0,0,1,1,154,37,6,62,60,1.03,1270,320
" Pacheco, J",COL,3B,132,475,51,147,32,3,5,54,22,61,7,2,0.309,0.341,0.421,0.762,2,3,1,4,200,40,13,152,133,1.14,1733,505
" Pierre, J",PHI,LF,130,394,59,121,10,6,1,25,23,27,37,7,0.307,0.351,0.371,0.721,0,4,17,1,146,17,4,174,94,1.85,1611,439
" Craig, A",STL,1B,119,469,76,144,35,0,22,92,37,89,2,1,0.307,0.354,0.522,0.876,1,1,0,7,245,57,15,141,117,1.21,2004,514
" Scutaro, M",SF,2B,156,620,87,190,32,4,7,74,40,49,9,4,0.306,0.348,0.405,0.753,0,4,10,9,251,43,12,190,222,0.86,2612,683
" Wright, D",NYM,3B,156,581,91,178,41,2,21,93,81,112,15,10,0.306,0.391,0.492,0.883,16,3,0,5,286,64,15,168,143,1.17,2567,670
" Jay, J",STL,CF,117,443,70,135,22,4,4,40,34,71,19,7,0.305,0.373,0.4,0.773,3,15,9,1,177,30,9,168,88,1.91,1935,502
" Schafer, L",MIL,LF,16,23,3,7,1,2,0,5,1,3,0,1,0.304,0.32,0.522,0.842,0,0,0,1,12,3,0,4,10,0.4,98,25
" Gentry, C",TEX,CF,121,240,31,73,12,3,1,26,14,41,13,7,0.304,0.367,0.392,0.759,1,10,5,0,94,16,4,73,62,1.18,947,269
" Murphy, D",TEX,LF,147,457,65,139,29,3,15,61,54,74,10,5,0.304,0.38,0.479,0.859,7,4,0,4,219,47,7,127,128,0.99,2048,521
" Rios, A",CWS,RF,157,605,93,184,37,8,25,91,26,92,23,6,0.304,0.334,0.516,0.85,3,4,0,5,312,70,18,170,182,0.93,2268,640
" Gonzalez, C",COL,LF,135,518,89,157,31,5,22,85,56,115,20,5,0.303,0.371,0.51,0.881,11,2,0,3,264,58,11,164,96,1.71,2197,579
" Kemp, M",LAD,CF,106,403,74,122,22,2,23,69,40,103,9,4,0.303,0.367,0.538,0.906,8,3,0,3,217,47,10,107,84,1.27,1756,449
" Bloomquist, W",ARI,SS,80,324,47,98,21,5,0,23,12,55,7,10,0.302,0.325,0.398,0.724,0,0,0,2,129,26,5,93,85,1.09,1150,338
" Hill, A",ARI,2B,156,609,93,184,44,6,26,85,52,86,14,5,0.302,0.36,0.522,0.882,7,4,1,2,318,76,15,143,214,0.67,2483,668
" Podsednik, S",BOS,CF,63,199,19,60,7,0,1,12,6,35,8,2,0.302,0.322,0.352,0.674,0,1,8,2,70,8,3,67,50,1.34,813,216
" Prado, M",ATL,LF,156,617,81,186,42,6,10,70,58,69,17,4,0.301,0.359,0.438,0.796,2,2,4,9,270,58,19,215,179,1.2,2712,690
" Nelson, C",COL,3B,111,345,45,104,21,3,9,53,27,84,2,1,0.301,0.352,0.458,0.81,4,1,2,2,158,33,9,104,66,1.58,1478,377
" Nieves, W",ARI,C,32,83,7,25,3,0,2,8,4,17,0,1,0.301,0.33,0.41,0.739,2,0,1,1,34,5,3,35,11,3.18,298,89
" Perez, S",KC,C,76,289,38,87,16,0,11,39,12,27,0,0,0.301,0.328,0.471,0.798,3,1,0,3,136,27,14,105,87,1.21,988,305
" Jackson, A",DET,CF,137,543,103,163,29,10,16,66,67,134,12,9,0.3,0.377,0.479,0.856,0,2,2,3,260,55,9,120,140,0.86,2558,617
" Cooper, D",TOR,1B,45,140,16,42,11,0,4,11,4,22,0,1,0.3,0.324,0.464,0.788,0,1,0,0,65,15,1,32,45,0.71,543,145
" Gregorius, D",CIN,SS,8,20,1,6,0,0,0,2,0,5,0,0,0.3,0.3,0.3,0.6,0,0,1,0,6,0,0,6,4,1.5,67,21
" Phipps, D",CIN,RF,8,10,4,3,1,0,1,2,1,4,0,0,0.3,0.364,0.7,1.064,0,0,0,0,7,2,0,1,2,0.5,41,11
" Pridie, J",BAL,CF,9,10,1,3,1,0,1,3,0,0,0,0,0.3,0.3,0.7,1,0,0,0,0,7,2,0,2,5,0.4,40,10
" Ramirez, A",MIL,3B,149,570,92,171,50,3,27,105,44,82,9,2,0.3,0.36,0.54,0.901,3,12,0,4,308,80,14,157,178,0.88,2243,630
" Werth, J",WSH,RF,81,300,42,90,21,3,5,31,42,57,8,2,0.3,0.387,0.44,0.827,2,1,0,1,132,29,3,68,89,0.76,1509,344
" Fowler, D",COL,CF,143,454,72,136,18,11,13,53,68,128,12,5,0.3,0.389,0.474,0.863,1,0,6,2,215,42,5,104,99,1.05,2116,530
" Gonzalez, A",LAD,1B,159,629,75,188,47,1,18,108,42,110,2,0,0.299,0.344,0.463,0.806,5,5,0,8,291,66,10,177,172,1.03,2508,684
" Konerko, P",CWS,1B,144,533,66,159,22,0,26,75,56,83,0,0,0.298,0.371,0.486,0.857,4,7,0,2,259,48,16,157,152,1.03,2237,598
" Markakis, N",BAL,RF,104,420,59,125,28,3,13,54,42,51,1,1,0.298,0.363,0.471,0.834,3,4,0,5,198,44,11,134,126,1.06,1812,471
" LeMahieu, D",COL,2B,81,229,26,68,12,4,2,22,13,42,1,2,0.297,0.332,0.41,0.742,4,0,3,2,94,18,8,86,46,1.87,894,247
" Grandal, Y",SD,C,60,192,28,57,7,1,8,36,31,39,0,0,0.297,0.394,0.469,0.863,1,1,0,2,90,16,8,63,43,1.47,902,226
" Cruz, L",LAD,3B,78,283,26,84,20,0,6,40,9,34,2,1,0.297,0.322,0.431,0.753,1,2,1,1,122,26,7,79,95,0.83,979,296
" Holliday, M",STL,LF,157,599,95,177,36,2,27,102,75,132,4,4,0.295,0.379,0.497,0.877,3,9,0,5,298,65,16,159,152,1.05,2677,688
" Leake, M",CIN,P,34,61,8,18,3,0,2,3,1,20,0,0,0.295,0.306,0.443,0.749,0,0,7,0,27,5,0,19,11,1.73,204,69
" Solano, D",MIA,2B,93,285,29,84,11,3,2,28,21,58,7,0,0.295,0.342,0.375,0.717,1,2,3,5,107,16,5,81,75,1.08,1240,316
" Gordon, A",KC,LF,161,642,93,189,51,5,14,72,73,140,10,5,0.294,0.368,0.455,0.822,3,3,0,3,292,70,14,177,153,1.16,2894,721
" Carpenter, M",STL,3B,114,296,44,87,22,5,6,46,34,63,1,1,0.294,0.365,0.463,0.828,2,3,0,7,137,33,10,82,81,1.01,1399,340
" Revere, B",MIN,RF,124,511,70,150,13,6,0,32,29,54,40,9,0.294,0.333,0.342,0.675,0,3,6,4,175,19,8,244,81,3.01,1997,553
" Ciriaco, P",BOS,SS,76,259,33,76,15,2,2,19,8,47,16,3,0.293,0.315,0.39,0.705,2,0,5,0,101,19,2,76,67,1.13,943,272
" Freese, D",STL,3B,144,501,70,147,25,1,20,79,57,122,3,3,0.293,0.372,0.467,0.839,2,7,0,2,234,46,19,155,98,1.58,2192,567
" Denorfia, C",SD,RF,130,348,56,102,19,6,8,36,27,52,13,5,0.293,0.345,0.451,0.796,0,2,2,3,157,33,9,146,62,2.35,1411,382
" Escobar, A",KC,SS,155,605,68,177,30,7,5,52,27,100,35,5,0.293,0.331,0.39,0.721,2,8,8,0,236,42,14,221,129,1.71,2423,648
" Desmond, I",WSH,SS,130,513,72,150,33,2,25,73,30,113,21,6,0.292,0.335,0.511,0.845,1,3,0,1,262,60,17,147,121,1.21,1845,547
" Holt, B",PIT,2B,24,65,6,19,2,1,0,3,4,14,0,0,0.292,0.329,0.354,0.682,0,0,2,1,23,3,1,21,15,1.4,299,72
" Nunez, E",NYY,SS,38,89,14,26,4,1,1,11,6,12,11,2,0.292,0.33,0.393,0.723,0,1,0,4,35,6,1,24,32,0.75,376,100
" Chacin, J",COL,P,14,24,4,7,2,0,0,3,1,3,0,0,0.292,0.32,0.375,0.695,0,0,1,0,9,2,0,11,4,2.75,90,26
" Cespedes, Y",OAK,LF,129,487,70,142,25,5,23,82,43,102,16,4,0.292,0.356,0.505,0.861,5,7,0,3,246,53,9,118,137,0.86,1979,540
" Bernadina, R",WSH,LF,129,227,25,66,11,0,5,25,28,53,15,3,0.291,0.372,0.405,0.777,3,2,3,1,92,16,2,59,55,1.07,998,261
" Murphy, D",NYM,2B,156,571,62,166,40,3,6,65,36,82,10,2,0.291,0.332,0.403,0.735,5,1,0,4,230,49,12,202,137,1.47,2262,612
" Morse, M",WSH,LF,102,406,53,118,17,1,18,62,16,97,0,1,0.291,0.321,0.47,0.791,0,4,0,4,191,36,14,141,68,2.07,1574,430
" Moss, B",OAK,1B,84,265,48,77,18,0,21,52,26,90,1,1,0.291,0.358,0.596,0.954,2,3,0,2,158,39,5,51,54,0.94,1185,296
" Colvin, T",COL,RF,136,420,62,122,27,10,18,72,21,117,7,3,0.29,0.327,0.531,0.858,0,2,2,1,223,55,6,96,94,1.02,1689,452
" Aybar, E",LAA,SS,141,517,67,150,31,5,8,45,22,61,20,4,0.29,0.324,0.416,0.74,1,5,7,2,215,44,11,202,124,1.63,1819,554
" Brantly, R",MIA,C,31,100,14,29,8,0,3,8,13,16,1,1,0.29,0.372,0.46,0.832,2,0,0,0,46,11,1,30,26,1.15,419,113
" Johnson, R",ATL,LF,119,269,30,78,14,3,3,20,13,61,2,2,0.29,0.337,0.398,0.735,1,6,0,0,107,20,4,90,44,2.05,1106,288
" Altuve, J",HOU,2B,147,576,80,167,34,4,7,37,40,74,33,11,0.29,0.34,0.399,0.74,0,6,4,4,230,45,8,207,144,1.44,2131,630
" Navarro, D",CIN,C,24,69,6,20,3,1,2,12,2,12,0,0,0.29,0.306,0.449,0.755,1,0,1,1,31,6,1,17,23,0.74,286,73
" Stanton, G",MIA,RF,123,449,75,130,30,1,37,86,46,143,6,2,0.29,0.361,0.608,0.969,9,5,0,1,273,68,5,84,98,0.86,1908,501
" Pedroia, D",BOS,2B,141,563,81,163,39,3,15,65,48,60,20,6,0.29,0.347,0.449,0.797,3,5,1,6,253,57,9,185,171,1.08,2476,623
" Longoria, E",TB,3B,74,273,39,79,14,0,17,55,33,61,2,3,0.289,0.369,0.527,0.896,6,3,0,3,144,31,14,75,75,1,1263,312
" Simmons, A",ATL,SS,49,166,17,48,8,2,3,19,12,21,1,0,0.289,0.335,0.416,0.751,1,1,0,3,69,13,5,66,39,1.69,595,182
" Tejada, R",NYM,SS,114,464,53,134,26,0,1,25,27,73,4,4,0.289,0.333,0.351,0.685,0,5,3,2,163,27,9,131,140,0.94,1884,501
" Fontenot, M",PHI,2B,47,97,13,28,2,0,1,5,7,23,0,1,0.289,0.343,0.34,0.683,2,1,0,0,33,3,2,25,23,1.09,403,105
" Aoki, N",MIL,RF,151,520,81,150,37,4,10,50,43,55,30,8,0.288,0.355,0.433,0.787,1,13,7,5,225,51,6,200,133,1.5,2290,588
" Middlebrooks, W",BOS,3B,75,267,34,77,14,0,15,54,13,70,4,1,0.288,0.325,0.509,0.835,0,3,0,3,136,29,8,75,56,1.34,1109,286
" Brantley, M",CLE,LF,149,552,63,159,37,4,6,60,53,56,12,9,0.288,0.348,0.402,0.75,12,0,0,4,222,47,7,189,159,1.19,2163,609
" Pagan, A",SF,CF,154,605,95,174,38,15,8,56,48,97,29,7,0.288,0.338,0.44,0.778,5,0,2,4,266,61,6,168,178,0.94,2476,659
" Tulowitzki, T",COL,SS,47,181,33,52,8,2,8,27,19,19,2,2,0.287,0.36,0.486,0.846,1,2,0,1,88,18,7,59,59,1,736,203
" Kendrick, H",LAA,2B,147,550,57,158,32,3,8,67,29,115,14,6,0.287,0.325,0.4,0.725,1,4,6,5,220,43,26,225,89,2.53,2153,594
" Jones, A",BAL,CF,162,648,103,186,39,3,32,82,34,126,16,7,0.287,0.334,0.505,0.839,0,13,0,2,327,74,15,186,167,1.11,2474,697
" Jones Jr., C",ATL,3B,112,387,58,111,23,0,14,62,57,51,1,0,0.287,0.377,0.455,0.832,6,1,0,3,176,37,15,137,106,1.29,1613,448
" Reyes, J",MIA,SS,160,642,86,184,37,12,11,57,63,56,40,11,0.287,0.347,0.433,0.78,9,0,5,6,278,60,10,228,195,1.17,2507,716
" Headley, C",SD,3B,161,604,95,173,31,2,31,115,86,157,17,6,0.286,0.376,0.498,0.875,2,4,0,5,301,64,7,172,114,1.51,2835,699
" Andrus, E",TEX,SS,158,629,85,180,31,9,3,62,57,96,21,10,0.286,0.349,0.378,0.727,0,5,17,3,238,43,15,260,128,2.03,2778,711
" Montero, M",ARI,C,141,486,65,139,25,2,15,88,73,130,0,0,0.286,0.391,0.438,0.829,6,12,0,2,213,42,15,125,109,1.15,2289,573
" Goldschmidt, P",ARI,1B,145,514,82,147,43,1,20,82,60,130,18,3,0.286,0.359,0.49,0.85,4,4,0,9,252,64,9,129,126,1.02,2348,587
" Dickerson, C",NYY,LF,25,14,5,4,0,0,2,5,3,5,3,0,0.286,0.412,0.714,1.126,0,0,0,0,10,2,1,5,1,5,68,17
" Fife, S",LAD,P,5,7,1,2,1,0,0,0,0,2,0,0,0.286,0.286,0.429,0.714,0,0,1,0,3,1,0,4,0,*.**,30,8
" Dobbs, G",MIA,1B,120,319,26,91,13,2,5,39,14,53,4,2,0.285,0.313,0.386,0.698,5,2,0,7,123,20,8,99,91,1.09,1268,342
" Pujols, A",LAA,1B,154,607,85,173,50,0,30,105,52,76,8,1,0.285,0.343,0.516,0.859,16,5,0,6,313,80,19,195,188,1.04,2531,670
" Rizzo, A",CHC,1B,87,337,44,96,15,0,15,48,27,62,3,2,0.285,0.342,0.463,0.805,1,3,0,1,156,30,7,106,81,1.31,1339,368
" Hamilton, J",TEX,LF,148,562,103,160,31,2,43,128,60,162,7,4,0.285,0.354,0.577,0.93,13,5,0,9,324,76,9,127,131,0.97,2349,636
" Dominguez, M",HOU,3B,31,109,14,31,2,2,5,16,4,17,0,0,0.284,0.31,0.477,0.787,1,0,0,0,52,9,4,39,26,1.5,437,113
" Ethier, A",LAD,RF,149,556,79,158,36,1,20,89,50,124,2,2,0.284,0.351,0.46,0.812,6,9,0,3,256,57,13,155,135,1.15,2368,618
" Castro, S",CHC,SS,162,646,78,183,29,12,14,78,36,100,25,13,0.283,0.323,0.43,0.753,5,4,0,5,278,55,15,214,169,1.27,2389,691
" Blackmon, C",COL,RF,42,113,15,32,8,0,2,9,4,17,1,2,0.283,0.325,0.407,0.732,0,3,1,0,46,10,4,39,30,1.3,450,121
" Suzuki, I",NYY,RF,162,629,77,178,28,6,9,55,22,61,29,7,0.283,0.307,0.39,0.696,5,2,5,5,245,43,12,237,175,1.35,2307,663
" Span, D",MIN,CF,128,516,71,146,38,4,4,41,47,62,17,6,0.283,0.342,0.395,0.738,0,0,4,1,204,46,10,201,122,1.65,2213,568
" Sandoval, P",SF,3B,108,396,59,112,25,2,12,63,38,59,1,1,0.283,0.342,0.447,0.789,4,1,0,7,177,39,13,125,120,1.04,1635,442
" Choo, S",CLE,RF,155,598,88,169,43,2,16,67,73,150,21,7,0.283,0.373,0.441,0.815,0,14,0,1,264,61,10,182,108,1.69,2811,686
" Crawford, C",LAD,LF,31,117,23,33,10,2,3,19,3,22,5,0,0.282,0.306,0.479,0.785,0,2,1,2,56,15,1,39,27,1.44,458,125
" Zimmerman, R",WSH,3B,145,578,93,163,36,1,25,95,57,116,5,2,0.282,0.346,0.478,0.824,8,2,0,4,276,62,20,187,136,1.38,2544,641
" Laird, G",DET,C,63,174,24,49,8,1,2,11,14,21,0,0,0.282,0.337,0.374,0.71,0,1,1,1,65,11,4,54,56,0.96,691,191
" Marquis, J",SD,P,17,32,3,9,3,0,0,1,0,12,0,0,0.281,0.303,0.375,0.678,0,1,3,0,12,3,0,11,3,3.67,102,36
" Phillips, B",CIN,2B,147,580,86,163,30,1,18,77,28,79,15,2,0.281,0.321,0.429,0.75,2,8,3,4,249,49,19,203,161,1.26,2291,623
" Johnson, C",ARI,3B,136,488,48,137,28,5,15,76,31,132,5,1,0.281,0.326,0.451,0.777,2,4,1,4,220,48,18,121,121,1,2116,528
" Chavez, E",NYY,3B,113,278,36,78,12,0,16,37,30,59,0,0,0.281,0.348,0.496,0.845,3,1,0,4,138,28,10,87,68,1.28,1225,313
" De Aza, A",CWS,LF,131,524,81,147,29,6,9,50,47,109,26,12,0.281,0.349,0.41,0.76,3,9,4,1,215,44,1,133,141,0.94,2320,585
" Encarnacion, E",TOR,1B,151,542,93,152,24,0,42,110,84,94,13,3,0.28,0.384,0.557,0.941,12,11,0,7,302,66,6,113,196,0.58,2697,644
" Sanchez, H",SF,C,74,218,22,61,15,0,3,34,5,52,0,0,0.28,0.295,0.39,0.685,0,1,0,3,85,18,8,66,50,1.32,856,227
" Upton, J",ARI,RF,150,554,107,155,24,4,17,67,63,121,18,8,0.28,0.355,0.43,0.785,5,5,0,6,238,45,7,146,145,1.01,2376,628
" Walker, N",PIT,2B,129,472,62,132,27,0,14,69,47,104,7,5,0.28,0.342,0.426,0.768,1,2,1,8,201,41,11,130,126,1.03,2046,530
" Pierzynski, A",CWS,C,135,479,68,133,18,4,27,77,28,78,0,0,0.278,0.326,0.501,0.827,5,8,1,4,240,49,8,143,138,1.04,1802,520
" Snyder, B",TEX,1B,40,65,11,18,2,0,3,9,3,26,0,0,0.277,0.309,0.446,0.755,0,0,1,0,29,5,1,9,14,0.64,293,69
