Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
" Pirela, J",NYY,2B,7,24,6,8,1,2,0,3,1,4,0,0,0.333,0.36,0.542,0.902,0,0,0,0,13,3,1,8,5,1.6,98,25
" Polanco, J",MIN,SS,5,6,2,2,1,1,0,3,2,2,0,0,0.333,0.5,0.833,1.333,0,0,0,0,5,2,0,1,1,1,32,8
" Robinson, C",LAD,1B,9,9,3,3,0,0,0,2,1,1,0,0,0.333,0.4,0.333,0.733,0,0,0,0,3,0,0,3,2,1.5,40,10
" Verlander, J",DET,P,3,6,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,1,0,2,0,0,4,1,4,21,7
" Watson, T",PIT,P,75,3,0,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,0,0,0,0,-.--,15,3
" Cuddyer, M",COL,RF,49,190,32,63,15,1,10,31,14,30,3,0,0.332,0.376,0.579,0.955,0,0,0,1,110,26,5,60,43,1.4,757,205
" Brantley, M",CLE,LF,156,611,94,200,45,2,20,97,52,56,23,1,0.327,0.385,0.506,0.89,4,8,0,5,309,67,16,208,168,1.24,2415,676
" Beltre, A",TEX,3B,148,549,79,178,33,1,19,77,57,74,1,1,0.324,0.388,0.492,0.879,13,3,0,5,270,53,15,160,157,1.02,2331,614
" Lind, A",TOR,1B,96,290,38,93,24,2,6,40,28,48,0,0,0.321,0.381,0.479,0.86,3,0,0,0,139,32,8,85,72,1.18,1269,318
" Morneau, J",COL,1B,135,502,62,160,32,3,17,82,34,60,0,3,0.319,0.364,0.496,0.86,4,6,0,8,249,52,7,156,141,1.11,1920,550
" Santana, D",MIN,SS,101,405,70,129,27,7,7,40,19,98,20,4,0.319,0.353,0.472,0.824,0,3,2,1,191,41,3,101,83,1.22,1643,430
" Paulsen, B",COL,1B,31,63,8,20,4,0,4,10,2,19,0,0,0.317,0.348,0.571,0.92,1,1,0,0,36,8,1,17,8,2.13,248,66
" Abreu, J",CWS,1B,145,556,80,176,35,2,36,107,51,131,3,1,0.317,0.383,0.581,0.964,15,11,0,4,323,73,14,164,103,1.59,2351,622
" McKenry, M",COL,C,57,168,23,53,9,0,8,22,22,42,0,3,0.315,0.398,0.512,0.91,1,1,1,0,86,17,6,42,38,1.11,762,192
" Harrison, J",PIT,3B,143,520,77,164,38,7,13,52,22,81,18,7,0.315,0.347,0.49,0.837,1,4,2,2,255,58,6,124,161,0.77,1968,550
" Martinez, J",DET,RF,123,441,57,139,30,3,23,76,30,126,6,3,0.315,0.358,0.553,0.912,5,3,0,6,244,56,8,95,95,1,1873,480
" Cano, R",SEA,2B,157,595,77,187,37,2,14,82,61,68,10,3,0.314,0.382,0.454,0.836,20,6,0,3,270,53,19,233,129,1.81,2321,665
" McCutchen, A",PIT,RF,146,548,89,172,38,6,25,83,84,115,18,3,0.314,0.41,0.542,0.952,8,10,0,6,297,69,9,127,149,0.85,2640,648
" Cabrera, M",DET,1B,159,611,101,191,52,1,25,109,60,117,1,1,0.313,0.371,0.524,0.895,10,3,0,11,320,78,21,168,167,1.01,2531,685
" Richardson, A",NYY,RF,13,16,2,5,0,0,0,1,1,3,5,0,0.313,0.353,0.313,0.665,0,0,0,0,5,0,0,4,4,1,75,17
" Sizemore, S",NYY,3B,6,16,3,5,2,0,0,4,0,8,0,0,0.313,0.313,0.438,0.75,0,0,0,0,7,2,0,2,1,2,66,16
" Dickerson, C",COL,LF,131,436,74,136,27,6,24,76,37,101,8,7,0.312,0.364,0.567,0.931,6,1,0,4,247,57,6,95,114,0.83,1905,478
" Uribe, J",LAD,3B,103,386,36,120,23,0,9,54,15,77,0,1,0.311,0.337,0.44,0.777,2,1,0,2,170,32,15,107,99,1.08,1425,404
" Posey, B",SF,C,147,547,72,170,28,2,22,89,47,69,0,1,0.311,0.364,0.49,0.854,5,3,0,8,268,52,16,172,160,1.08,2326,605
" Blanks, K",OAK,1B,26,55,10,17,1,0,2,7,8,16,0,0,0.309,0.409,0.436,0.845,0,2,0,1,24,3,3,15,11,1.36,241,66
" Brentz, B",BOS,RF,9,26,5,8,2,0,0,2,0,9,0,0,0.308,0.308,0.385,0.692,0,0,0,0,10,2,0,6,3,2,97,26
" Wieters, M",BAL,C,26,104,13,32,5,0,5,18,6,19,0,1,0.308,0.339,0.5,0.839,0,0,0,2,52,10,1,21,35,0.6,404,112
" Revere, B",PHI,LF,151,601,71,184,13,7,2,28,13,49,49,8,0.306,0.325,0.361,0.686,1,4,7,1,217,22,11,284,103,2.76,2257,626
" Panik, J",SF,2B,73,269,31,82,10,2,1,18,16,33,0,0,0.305,0.343,0.368,0.711,0,0,1,1,99,13,4,90,70,1.29,1099,287
" Kozma, P",STL,SS,14,23,4,7,3,0,0,0,3,4,0,0,0.304,0.385,0.435,0.819,0,0,0,0,10,3,0,5,7,0.71,105,26
" Jay, J",STL,CF,140,413,52,125,16,3,3,46,28,78,6,3,0.303,0.372,0.378,0.75,3,20,3,4,156,22,17,150,84,1.79,1650,468
" Pollock, A",ARI,CF,75,265,41,80,19,6,7,24,19,46,14,3,0.302,0.353,0.498,0.851,0,2,1,0,132,32,4,85,59,1.44,1068,287
" Young, D",BAL,LF,83,242,27,73,11,1,7,30,10,51,2,0,0.302,0.337,0.442,0.779,0,3,0,0,107,19,6,78,46,1.7,931,255
" Span, D",WSH,CF,147,610,94,184,39,8,5,37,50,65,31,7,0.302,0.355,0.416,0.771,1,2,3,3,254,52,6,189,184,1.03,2454,668
" Cain, L",KC,CF,133,471,55,142,29,4,5,53,24,108,28,5,0.301,0.339,0.412,0.751,2,4,0,3,194,38,9,137,96,1.43,1853,502
" Cervelli, F",NYY,C,49,146,18,44,11,1,2,13,11,41,1,0,0.301,0.37,0.432,0.802,0,5,0,0,63,14,5,39,27,1.44,633,162
" Cabrera, M",TOR,LF,139,568,81,171,35,3,16,73,43,67,6,2,0.301,0.351,0.458,0.808,3,3,2,5,260,54,19,202,154,1.31,2295,621
" Lucroy, J",MIL,C,153,585,73,176,53,2,13,69,66,71,4,4,0.301,0.373,0.465,0.837,3,2,0,2,272,68,13,174,179,0.97,2551,655
" Goldschmidt, P",ARI,1B,109,406,75,122,39,1,19,69,64,110,9,3,0.3,0.396,0.542,0.938,10,2,0,3,220,59,10,105,82,1.28,1976,479
" Eaton, A",CWS,CF,123,486,76,146,26,10,1,35,43,83,15,9,0.3,0.362,0.401,0.763,0,5,2,2,195,37,4,175,90,1.94,2095,538
" Crawford, C",LAD,LF,105,343,56,103,14,3,8,46,16,55,23,6,0.3,0.339,0.429,0.767,0,6,0,4,147,25,5,103,91,1.13,1303,370
" Pagan, A",SF,CF,96,383,56,115,21,2,3,27,25,53,16,6,0.3,0.342,0.389,0.731,1,1,1,3,149,26,5,117,107,1.09,1481,413
" Gonzales, M",STL,P,10,10,1,3,2,0,0,0,0,2,0,0,0.3,0.3,0.5,0.8,0,0,2,0,5,2,0,7,0,*.**,32,12
" Terdoslavich, J",ATL,RF,9,10,1,3,2,0,0,2,0,3,0,0,0.3,0.364,0.5,0.864,0,1,0,0,5,2,0,3,1,3,38,11
" Weeks, J",BOS,2B,17,37,8,11,3,1,0,3,4,2,2,0,0.297,0.372,0.432,0.805,0,1,2,1,16,4,1,13,15,0.87,204,45
" Van Slyke, S",LAD,LF,98,212,32,63,13,1,11,29,28,71,4,2,0.297,0.386,0.524,0.91,0,4,0,2,111,25,3,36,47,0.77,983,246
" Puig, Y",LAD,RF,148,558,92,165,37,9,16,69,67,124,11,7,0.296,0.382,0.48,0.863,3,12,2,1,268,62,7,159,120,1.33,2306,640
" Rua, R",TEX,LF,28,105,11,31,7,0,2,14,2,18,1,0,0.295,0.321,0.419,0.74,0,2,0,0,44,9,6,40,22,1.82,414,109
" Stewart, C",PIT,C,49,136,9,40,5,0,0,10,12,27,0,1,0.294,0.362,0.331,0.693,2,3,2,1,45,5,2,38,36,1.06,576,154
" Kendrick, H",LAA,2B,157,617,85,181,33,5,7,75,48,110,14,5,0.293,0.347,0.397,0.744,8,4,3,2,245,45,15,239,107,2.23,2510,674
" Pearce, S",BAL,LF,102,338,51,99,26,0,21,49,40,76,5,0,0.293,0.373,0.556,0.93,1,4,0,1,188,47,4,74,94,0.79,1527,383
" Soler, J",CHC,RF,24,89,11,26,8,1,5,20,6,24,1,0,0.292,0.33,0.573,0.903,0,0,0,2,51,14,3,29,15,1.93,369,97
" Werth, J",WSH,RF,147,534,85,156,37,1,16,82,83,113,9,1,0.292,0.394,0.455,0.849,3,9,0,3,243,54,9,127,150,0.85,2667,629
" Castro, S",CHC,SS,134,528,58,154,33,1,14,65,35,100,4,4,0.292,0.339,0.438,0.777,4,4,0,2,231,48,18,162,132,1.23,2122,569
" Betts, M",BOS,CF,52,189,34,55,12,1,5,18,21,31,7,3,0.291,0.368,0.444,0.812,0,2,1,0,84,18,2,46,60,0.77,928,213
" Marte, S",PIT,LF,135,495,73,144,29,6,13,56,33,131,30,11,0.291,0.356,0.453,0.808,0,17,0,0,224,48,5,130,95,1.37,2072,545
" Spangenberg, C",SD,2B,20,62,7,18,2,1,2,9,2,14,4,2,0.29,0.313,0.452,0.764,0,0,1,0,28,5,1,20,12,1.67,211,65
" Martin, R",PIT,C,111,379,45,110,20,0,11,67,59,78,4,4,0.29,0.402,0.43,0.832,5,15,2,5,163,31,16,128,86,1.49,1936,460
" Loney, J",TB,1B,155,600,59,174,27,0,9,69,41,80,4,0,0.29,0.336,0.38,0.716,2,4,0,6,228,36,21,205,168,1.22,2408,651
" Gordon, D",LAD,2B,148,609,92,176,24,12,2,34,31,107,64,19,0.289,0.326,0.378,0.704,0,4,3,3,230,38,3,217,118,1.84,2459,650
" Stubbs, D",COL,CF,132,388,67,112,22,4,15,43,30,136,20,3,0.289,0.339,0.482,0.821,1,1,2,3,187,41,4,78,71,1.1,1704,424
" Gennett, S",MIL,2B,137,440,55,127,31,3,9,54,22,67,6,3,0.289,0.32,0.434,0.754,5,0,8,4,191,43,11,135,134,1.01,1624,474
" Murphy, D",NYM,2B,143,596,79,172,37,2,9,57,39,86,13,5,0.289,0.332,0.403,0.734,3,2,0,5,240,48,15,185,173,1.07,2346,642
" Adams, M",STL,1B,142,527,55,152,34,5,15,68,26,114,3,2,0.288,0.321,0.457,0.779,5,3,0,7,241,54,9,118,159,0.74,2050,563
" Blackmon, C",COL,CF,154,593,82,171,27,3,19,72,31,96,28,10,0.288,0.335,0.44,0.775,5,13,6,5,261,49,3,159,181,0.88,2461,648
" Freeman, F",ATL,1B,162,607,93,175,43,4,18,78,90,145,3,4,0.288,0.386,0.461,0.847,4,8,0,3,280,65,18,158,150,1.05,2826,708
" Lombardozzi Jr., S",BAL,2B,20,73,6,21,1,1,0,2,0,14,1,0,0.288,0.297,0.329,0.626,0,1,0,0,24,2,1,19,20,0.95,242,74
" Suzuki, K",MIN,C,131,452,37,130,34,0,3,61,34,46,0,1,0.288,0.345,0.383,0.727,0,9,1,7,173,37,9,147,146,1.01,1998,503
" Stanton, G",MIA,RF,145,539,89,155,31,1,37,105,94,170,13,1,0.288,0.395,0.555,0.95,24,3,0,2,299,69,16,120,112,1.07,2597,638
" Trout, M",LAA,CF,157,602,115,173,39,9,36,111,83,184,16,2,0.287,0.377,0.561,0.939,6,10,0,10,338,84,6,100,161,0.62,3136,705
" McGehee, C",MIA,3B,160,616,56,177,29,1,4,76,67,102,4,2,0.287,0.355,0.357,0.712,3,1,0,7,220,34,31,216,159,1.36,2543,691
" Rendon, A",WSH,3B,153,613,111,176,39,6,21,83,58,104,17,3,0.287,0.351,0.473,0.824,2,5,2,5,290,66,11,168,183,0.92,2710,683
" Arenado, N",COL,3B,111,432,58,124,34,2,18,61,25,58,2,1,0.287,0.328,0.5,0.828,1,4,1,5,216,54,13,119,150,0.79,1611,467
" Reyes, J",TOR,SS,143,610,94,175,33,4,9,51,38,73,30,2,0.287,0.328,0.398,0.726,1,1,2,4,243,46,4,170,202,0.84,2308,655
" Taylor, C",SEA,SS,47,136,16,39,8,0,0,9,11,39,5,2,0.287,0.347,0.346,0.692,0,2,1,1,47,8,3,29,34,0.85,570,151
" Kemp, M",LAD,LF,150,541,77,155,38,3,25,89,52,145,8,5,0.287,0.346,0.506,0.852,3,0,0,6,274,66,21,165,105,1.57,2298,599
" Rizzo, A",CHC,1B,140,524,89,150,28,1,32,78,73,116,5,4,0.286,0.386,0.527,0.913,7,15,0,4,276,61,8,132,138,0.96,2478,616
" Hunter, T",DET,RF,142,549,71,157,33,2,17,83,23,89,4,3,0.286,0.319,0.446,0.765,0,7,0,7,245,52,18,183,145,1.26,2001,586
" Bautista, J",TOR,RF,155,553,101,158,27,0,35,103,104,96,6,2,0.286,0.403,0.524,0.928,11,9,1,6,290,62,18,157,167,0.94,2743,673
" Bernier, D",MIN,SS,7,7,2,2,0,0,0,0,1,2,0,0,0.286,0.444,0.286,0.73,0,1,0,0,2,0,0,0,3,0,46,9
" Izturis, M",TOR,2B,11,35,3,10,1,0,0,1,2,4,1,0,0.286,0.324,0.314,0.639,0,0,1,0,11,1,0,13,9,1.44,152,38
" Paredes, J",BAL,3B,27,63,12,18,4,0,2,8,2,16,4,0,0.286,0.308,0.444,0.752,0,0,0,0,28,6,1,22,8,2.75,237,65
" Peralta, D",ARI,LF,88,329,40,94,12,9,8,36,16,60,6,3,0.286,0.32,0.45,0.77,0,1,1,1,148,29,9,110,76,1.45,1227,348
" Shields, J",KC,P,3,7,1,2,1,0,0,1,0,1,0,0,0.286,0.286,0.429,0.714,0,0,0,0,3,1,0,3,1,3,33,7
" Stammen, C",WSH,P,46,7,0,2,1,0,0,0,0,4,0,0,0.286,0.286,0.429,0.714,0,0,1,0,3,1,0,1,1,1,28,8
" Ramirez, A",MIL,3B,133,494,47,141,23,1,15,66,21,75,3,0,0.285,0.33,0.427,0.757,2,13,0,3,211,39,18,137,162,0.85,1805,531
" Aoki, N",KC,RF,132,491,63,140,22,6,1,43,43,49,17,8,0.285,0.349,0.36,0.71,0,6,8,1,177,29,5,213,103,2.07,2087,549
" Escobar, A",KC,SS,162,579,74,165,34,5,3,50,23,83,31,6,0.285,0.317,0.377,0.694,1,6,8,4,218,42,12,176,179,0.98,2207,620
" Suzuki, I",NYY,RF,143,359,42,102,13,2,1,22,21,68,15,3,0.284,0.324,0.34,0.664,1,1,2,2,122,16,3,124,72,1.72,1516,385
" Gomez, C",MIL,CF,148,574,95,163,34,4,23,73,47,141,34,12,0.284,0.356,0.477,0.833,0,19,1,3,274,61,10,123,161,0.76,2301,644
" Murphy, J",NYY,C,32,81,7,23,4,0,1,9,4,22,0,0,0.284,0.318,0.37,0.688,0,0,0,0,30,5,0,17,19,0.89,315,85
" Bour, J",MIA,1B,39,74,10,21,3,0,1,11,9,19,0,0,0.284,0.361,0.365,0.726,1,0,0,0,27,4,0,20,14,1.43,335,83
" Yelich, C",MIA,LF,144,582,94,165,30,6,9,54,70,137,21,7,0.284,0.362,0.402,0.764,3,3,3,2,234,45,9,211,83,2.54,2812,660
" Coghlan, C",CHC,RF,125,385,50,109,28,5,9,41,39,81,7,4,0.283,0.352,0.452,0.804,2,3,3,2,174,42,5,103,102,1.01,1684,432
" Ramirez, H",LAD,SS,128,449,64,127,35,0,13,71,56,84,14,5,0.283,0.369,0.448,0.817,2,6,0,1,201,48,10,139,110,1.26,1943,512
" Gillaspie, C",CWS,3B,130,464,50,131,31,5,7,57,36,78,0,4,0.282,0.336,0.416,0.752,4,3,0,3,193,43,5,115,148,0.78,1846,506
" Molina, Y",STL,C,110,404,40,114,21,0,7,38,28,55,1,1,0.282,0.333,0.386,0.719,4,6,1,6,156,28,14,155,101,1.53,1688,445
" Davis, R",DET,CF,134,461,64,130,27,2,8,51,22,75,36,11,0.282,0.32,0.401,0.721,0,5,3,3,185,37,7,149,120,1.24,1742,494
" Prado, M",NYY,3B,143,536,62,151,26,4,12,58,26,80,3,1,0.282,0.321,0.412,0.733,0,7,0,4,221,42,20,185,144,1.28,2218,573
" Tabata, J",PIT,RF,80,174,14,49,5,2,0,17,7,26,1,2,0.282,0.314,0.333,0.647,0,2,1,2,58,7,12,75,39,1.92,657,186
" Lagares, J",NYM,CF,116,416,46,117,24,3,4,47,20,87,13,4,0.281,0.321,0.382,0.703,1,7,3,6,159,31,6,122,105,1.16,1697,452
" Ruggiano, J",CHC,RF,81,224,29,63,13,1,6,28,18,70,2,4,0.281,0.337,0.429,0.766,0,3,1,4,96,20,2,49,49,1,993,250
" Jones, A",BAL,CF,159,644,88,181,30,2,29,96,19,133,7,1,0.281,0.311,0.469,0.78,1,12,0,7,302,61,11,178,170,1.05,2483,682
" Holt, B",BOS,2B,106,449,68,126,23,5,4,29,33,98,12,2,0.281,0.331,0.381,0.711,0,2,5,3,171,32,7,147,93,1.58,2023,492
" Rios, A",TEX,RF,131,492,54,138,30,8,4,54,23,93,17,9,0.28,0.311,0.398,0.709,3,1,0,5,196,42,19,148,137,1.08,2045,521
" Zimmerman, R",WSH,1B,61,214,26,60,19,1,5,38,22,37,0,0,0.28,0.342,0.449,0.79,0,0,0,4,96,25,6,64,63,1.02,924,240
" Chisenhall, L",CLE,3B,142,478,62,134,29,1,13,59,39,99,3,1,0.28,0.343,0.427,0.77,3,8,4,3,204,43,8,118,142,0.83,2045,533
" Sandoval, P",SF,3B,157,588,68,164,26,3,16,73,39,85,0,0,0.279,0.324,0.415,0.739,6,4,0,7,244,45,16,175,187,0.94,2254,638
" Vogt, S",OAK,C,84,269,26,75,10,2,9,35,16,39,1,0,0.279,0.321,0.431,0.752,2,1,0,1,116,21,2,56,102,0.55,1186,287
" Morse, M",SF,LF,131,438,48,122,32,3,16,61,31,121,0,0,0.279,0.336,0.475,0.811,0,9,0,4,208,51,19,128,90,1.42,1784,482
" Aybar, E",LAA,SS,156,589,77,164,30,4,7,68,36,62,16,9,0.278,0.321,0.379,0.7,4,5,3,8,223,41,10,218,167,1.31,2136,641
" Gomes, Y",CLE,C,135,485,61,135,25,3,21,74,24,120,0,0,0.278,0.313,0.472,0.785,3,3,0,6,229,49,13,120,129,0.93,1997,518
" Petit, G",HOU,SS,37,97,14,27,8,0,2,9,1,25,0,1,0.278,0.3,0.423,0.723,0,2,0,0,41,10,1,24,22,1.09,359,100
" Machado, M",BAL,3B,82,327,38,91,14,0,12,32,20,68,2,0,0.278,0.324,0.431,0.755,2,3,2,2,141,26,13,107,78,1.37,1290,354
" Bloomquist, W",SEA,SS,47,133,15,37,6,0,1,14,4,32,1,1,0.278,0.297,0.346,0.643,1,0,1,1,46,7,1,37,30,1.23,497,139
" Pedroia, D",BOS,2B,135,551,72,153,33,0,7,53,51,75,6,6,0.278,0.337,0.376,0.712,1,1,0,6,207,40,14,193,150,1.29,2498,609
" Inciarte, E",ARI,LF,118,418,54,116,18,2,4,27,25,53,19,3,0.278,0.318,0.359,0.677,0,0,4,0,150,24,3,151,105,1.44,1561,447
" Gonzalez, M",HOU,1B,103,285,33,79,15,1,6,23,17,58,2,4,0.277,0.327,0.4,0.727,0,4,4,0,114,22,6,97,61,1.59,1143,310
" Mauer, J",MIN,1B,120,455,60,126,27,2,4,55,60,96,3,0,0.277,0.361,0.371,0.732,12,1,0,2,169,33,12,153,94,1.63,2170,518
" Pence, H",SF,RF,162,650,106,180,29,10,20,74,52,130,13,6,0.277,0.332,0.445,0.777,3,3,0,3,289,59,13,209,147,1.42,2811,708
" Blanco, A",PHI,3B,25,47,4,13,5,0,1,3,2,6,0,0,0.277,0.306,0.447,0.753,1,0,4,0,21,6,4,22,14,1.57,199,53
" Fowler, D",HOU,CF,116,434,61,120,21,4,8,35,66,108,11,4,0.276,0.375,0.399,0.774,2,3,1,1,173,33,6,109,105,1.04,2085,505
" Hechavarria, A",MIA,SS,146,536,53,148,20,10,1,34,26,86,7,5,0.276,0.308,0.356,0.664,5,1,4,6,191,31,21,209,124,1.69,1917,574
" Chavez, E",SEA,RF,80,232,22,64,12,2,2,23,15,30,5,2,0.276,0.317,0.371,0.688,0,0,9,2,86,16,2,85,66,1.29,956,258
" Gonzalez, A",LAD,1B,159,591,83,163,41,0,27,116,56,112,1,1,0.276,0.335,0.482,0.817,9,2,0,11,285,68,13,169,171,0.99,2502,660
" Markakis, N",BAL,RF,155,642,81,177,27,1,14,50,62,84,4,2,0.276,0.342,0.386,0.729,4,4,0,2,248,42,10,199,194,1.03,2818,710
" Kinsler, I",DET,2B,161,684,100,188,40,4,17,92,29,79,15,4,0.275,0.307,0.42,0.727,1,5,3,5,287,61,20,196,249,0.79,2568,726
" Escobar, E",MIN,SS,133,433,52,119,35,2,6,37,24,93,1,1,0.275,0.315,0.406,0.721,1,2,4,2,176,43,6,111,122,0.91,1743,465
" Navarro, D",TOR,C,139,481,40,132,22,0,12,69,32,76,3,0,0.274,0.317,0.395,0.712,1,1,0,6,190,34,12,149,142,1.05,1975,520
" Vargas, K",MIN,1B,53,215,26,59,10,1,9,38,12,63,0,0,0.274,0.316,0.456,0.772,2,3,0,4,98,20,5,59,43,1.37,881,234
" Herrera, E",MIL,RF,69,135,14,37,7,1,0,5,3,36,4,1,0.274,0.288,0.341,0.629,1,0,1,1,46,8,1,31,34,0.91,515,140
" Martin, L",TEX,CF,155,533,68,146,13,7,7,40,39,114,31,12,0.274,0.325,0.364,0.689,3,2,7,2,194,27,4,164,122,1.34,2144,583
" Weeks Jr., R",MIL,2B,121,252,36,69,19,1,8,29,25,73,3,4,0.274,0.357,0.452,0.809,0,8,0,1,114,28,7,75,43,1.74,1071,286
" Mesoraco, D",CIN,C,114,384,54,105,25,0,25,80,41,103,1,3,0.273,0.359,0.534,0.893,4,12,0,3,205,50,5,87,97,0.9,1727,440
" Ramirez, A",CWS,SS,158,622,82,170,35,2,15,74,24,81,21,4,0.273,0.305,0.408,0.713,0,6,1,4,254,52,21,211,186,1.13,2234,657
