RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
55," Ray, R",DET,1,4,8.16,9,6,0,0,28.2,43,26,26,5,11,19,0.35,1.88,0,0,0,0,1,1,2,28,35,2,1,3,3,2,136,547,0.2,0.8,0.4,0.593,0.993,5.97,3.45,13.5,1.73,19.08
56," Saunders, J",BAL,0,5,6.7,14,8,0,0,43,65,37,32,9,24,23,0.349,2.07,0,0,2,1,3,0,6,52,49,0,0,1,1,0,215,847,0,1.06,0.423,0.575,0.999,4.81,5.02,13.6,0.96,19.7
57," Germano, J",LAD,0,0,11.81,2,0,0,0,5.1,8,7,7,1,3,3,0.348,2.06,0,0,1,1,1,0,0,5,8,0,0,0,0,0,28,120,.---,0.63,0.429,0.652,1.081,5.06,5.06,13.5,1,22.5
58," Gonzalez, M",PHI,0,1,6.75,6,0,0,0,5.1,9,4,4,1,3,5,0.346,2.25,0,0,0,0,4,0,0,3,9,0,0,1,0,0,29,130,0,0.33,0.414,0.538,0.952,8.44,5.06,15.19,1.67,24.38
59," Harrell, L",ARI,0,3,9.49,3,3,0,0,12.1,19,14,13,2,9,9,0.345,2.27,0,0,0,1,0,0,0,20,9,1,0,1,0,0,66,284,0,2.22,0.424,0.582,1.006,6.57,6.57,13.86,1,23.03
60," Zeid, J",HOU,0,0,6.97,23,0,0,0,20.2,30,18,16,6,7,18,0.345,1.79,0,0,1,1,6,3,1,23,19,1,0,1,0,1,98,378,.---,1.21,0.392,0.621,1.012,7.84,3.05,13.06,2.57,18.29
61," McCoy, P",BAL,0,0,3.86,14,0,0,0,14,21,6,6,0,13,11,0.344,2.43,0,0,0,3,4,0,2,18,11,0,0,0,0,0,74,254,.---,1.64,0.459,0.443,0.902,7.07,8.36,13.5,0.85,18.14
62," Butler, E",COL,1,1,6.75,3,3,0,0,16,23,12,12,2,7,3,0.343,1.88,0,0,0,1,0,0,2,27,16,0,0,5,0,0,76,259,0.5,1.69,0.405,0.567,0.973,1.69,3.94,12.94,0.43,16.19
62," Chen, B",KC,2,4,7.45,13,7,0,0,48.1,69,40,40,7,16,36,0.343,1.76,0,0,1,1,6,0,4,32,69,0,0,6,1,1,223,868,0.333,0.46,0.389,0.522,0.912,6.7,2.98,12.85,2.25,17.96
64," Roth, M",LAA,1,0,8.76,7,0,0,0,12.1,16,12,12,2,9,9,0.34,2.03,0,0,3,2,2,0,5,16,7,0,0,2,1,1,60,247,1,2.29,0.467,0.511,0.977,6.57,6.57,11.68,1,20.03
65," Martin, C",COL,0,0,6.89,16,0,0,0,15.2,22,12,12,2,4,14,0.338,1.66,0,0,0,0,1,3,4,21,8,1,2,0,0,0,69,253,.---,2.63,0.377,0.538,0.915,8.04,2.3,12.64,3.5,16.15
66," Lindstrom, M",CWS,2,2,5.03,35,0,6,10,34,47,23,19,3,12,18,0.338,1.74,0,0,1,0,23,0,6,48,32,3,0,4,0,0,158,555,0.5,1.5,0.39,0.504,0.893,4.76,3.18,12.44,1.5,16.32
67," Poreda, A",TEX,2,1,5.91,26,0,0,1,21.1,30,14,14,2,7,21,0.337,1.73,0,0,1,1,2,4,1,20,18,1,0,3,3,0,97,369,0.667,1.11,0.392,0.517,0.909,8.86,2.95,12.66,3,17.3
68," Alvarez, J",LAA,0,0,0,2,0,0,0,0.2,1,0,0,0,0,1,0.333,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,10,.---,0,0.333,0.333,0.667,13.5,0,13.5,*.**,15
68," Burnett, S",LAA,0,0,13.5,3,0,0,0,0.2,1,1,1,0,0,0,0.333,1.5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,19,.---,1,0.333,0.333,0.667,0,0,13.5,-.--,28.5
68," Cedeno, X",WSH,0,0,3.86,9,0,0,0,7,10,4,3,1,0,5,0.333,1.43,0,0,0,0,4,0,0,7,8,0,0,0,0,0,30,112,.---,0.88,0.333,0.5,0.833,6.43,0,12.86,*.**,16
68," Grube, J",LAA,0,0,13.5,1,0,0,0,0.2,1,1,1,1,0,0,0.333,1.5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,7,.---,0,0.333,1.333,1.667,0,0,13.5,-.--,10.5
