RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Cruz, J",PIT,P,43,0,35.2,5,1,4,0,0,-,-,-,-,-,1,0.12
1," Culberson, C",COL,2B,6,5,48.1,20,9,11,0,1,-,-,-,-,-,1,3.33
1," Cunningham, A",CLE,RF,77,21,299,69,65,4,0,1,-,-,-,-,-,1,0.9
1," D'Arnaud, C",PIT,2B,3,1,13.2,3,1,2,0,0,-,-,-,-,-,1,1
1," Danks, J",CWS,LF,47,15,183,44,44,0,0,0,-,-,-,-,-,1,0.94
1," Darvish, Y",TEX,P,29,29,191.1,33,19,14,0,1,-,-,-,-,-,1,1.14
1," Delabar, S",TOR,P,61,0,66,8,5,3,0,0,-,-,-,-,-,1,0.13
1," Delgado, R",ATL,P,18,17,92.2,22,6,16,0,0,-,-,-,-,-,1,1.22
1," Demel, S",ARI,P,1,0,1,1,1,0,0,0,-,-,-,-,-,1,1
1," DeWitt, B",CHC,2B,5,5,36.2,21,13,8,0,2,-,-,-,-,-,1,4.2
1," Diamond, S",MIN,P,27,27,173,31,10,21,0,1,-,-,-,-,-,1,1.15
1," Diaz, M",ATL,LF,26,22,182.1,52,50,2,0,2,-,-,-,-,-,1,2
1," Dickerson, C",NYY,LF,25,4,59.1,11,11,0,0,0,-,-,-,-,-,1,0.44
1," Dickson, B",STL,P,4,0,6.1,1,0,1,0,0,-,-,-,-,-,1,0.25
1," Dillard, T",MIL,P,34,0,37,7,3,4,0,0,-,-,-,-,-,1,0.21
1," Downs, D",DET,P,18,0,20.2,4,1,3,0,1,-,-,-,-,-,1,0.22
1," Duensing, B",MIN,P,55,11,109,18,5,13,0,1,-,-,-,-,-,1,0.33
1," Duffy, D",KC,P,6,6,27.2,2,0,2,0,0,-,-,-,-,-,1,0.33
1," Duke, Z",WSH,P,8,0,13.2,4,0,4,0,0,-,-,-,-,-,1,0.5
1," Ekstrom, M",OAK,P,15,0,15.2,5,2,3,0,1,-,-,-,-,-,1,0.33
1," Elbert, S",LAD,P,43,0,32.2,4,1,3,0,1,-,-,-,-,-,1,0.09
1," Eovaldi, N",MIA,P,22,22,119.1,23,7,16,0,1,-,-,-,-,-,1,1.05
1," Eppley, C",NYY,P,59,0,46,12,1,11,0,1,-,-,-,-,-,1,0.2
1," Escalona, E",COL,P,22,0,22.1,2,0,2,0,0,-,-,-,-,-,1,0.09
1," Estrada, M",MIL,P,29,23,138.1,20,4,16,0,1,-,-,-,-,-,1,0.69
