Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
" Taylor, M",WSH,CF,29,82,10,22,4,2,2,9,5,33,2,0,0.268,0.307,0.439,0.746
" Joseph, C",BAL,C,20,71,5,19,5,1,2,9,0,14,0,0,0.268,0.278,0.451,0.728
" Davis, C",BAL,1B,38,131,23,35,7,0,9,17,25,54,0,0,0.267,0.384,0.527,0.91
" Barnes, A",LAD,C,17,45,10,12,6,1,1,5,7,10,2,0,0.267,0.365,0.511,0.876
" Chirinos, R",TEX,C,15,45,12,12,1,0,5,13,7,10,0,0,0.267,0.389,0.622,1.011
" Lackey, J",CHC,P,8,15,1,4,1,0,0,1,0,5,0,0,0.267,0.267,0.333,0.6
" Stewart, C",PIT,C,12,30,2,8,1,1,0,0,2,5,0,0,0.267,0.333,0.367,0.7
" Wainwright, A",STL,P,8,15,3,4,0,0,1,4,0,5,0,0,0.267,0.267,0.467,0.733
" Chisenhall, L",CLE,CF,29,79,11,21,6,1,4,19,8,17,1,0,0.266,0.337,0.519,0.856
" Span, D",SF,CF,20,79,8,21,5,1,2,6,3,11,0,2,0.266,0.301,0.43,0.732
" Broxton, K",MIL,CF,38,128,24,34,8,2,4,12,8,54,10,4,0.266,0.324,0.453,0.777
" Mazara, N",TEX,RF,39,147,21,39,9,0,6,29,14,29,2,0,0.265,0.335,0.449,0.784
" Bour, J",MIA,1B,40,132,15,35,5,0,9,25,19,33,0,0,0.265,0.359,0.508,0.867
" Holliday, M",NYY,DH,35,117,16,31,5,0,7,25,20,38,1,0,0.265,0.37,0.487,0.857
" Panik, J",SF,2B,39,140,15,37,7,1,1,11,11,20,2,0,0.264,0.316,0.35,0.666
" Molina, Y",STL,C,33,125,15,33,7,0,3,14,9,20,3,0,0.264,0.314,0.392,0.706
" Barney, D",TOR,3B,35,91,9,24,4,0,1,7,4,19,2,0,0.264,0.295,0.341,0.635
" Parra, G",COL,LF,34,110,14,29,2,0,4,14,4,23,0,2,0.264,0.296,0.391,0.687
" Blanco, G",ARI,OF,9,19,1,5,0,0,0,3,2,2,2,0,0.263,0.333,0.263,0.596
" Cordoba, A",SD,LF,30,57,7,15,0,1,3,6,5,15,1,1,0.263,0.333,0.456,0.789
" Graterol, J",LAA,C,9,19,1,5,1,0,0,2,0,1,0,0,0.263,0.263,0.316,0.579
" Joseph, T",PHI,1B,34,114,18,30,8,0,6,18,11,34,1,0,0.263,0.331,0.491,0.822
" Peterson, S",TB,LF,14,38,5,10,2,0,1,6,2,12,0,0,0.263,0.317,0.395,0.712
" Stanton, G",MIA,RF,40,152,22,40,8,0,11,27,18,41,0,0,0.263,0.339,0.533,0.872
" Tulowitzki, T",TOR,SS,16,57,5,15,4,0,1,10,3,6,0,0,0.263,0.295,0.386,0.681
" Choo, S",TEX,DH,36,126,21,33,3,1,4,17,23,29,3,2,0.262,0.377,0.397,0.774
" Nunez, E",SF,3B,39,149,14,39,9,0,1,13,6,14,11,1,0.262,0.287,0.342,0.629
" Bonifacio, J",KC,RF,22,65,8,17,1,0,2,6,7,20,0,0,0.262,0.329,0.369,0.698
" Diaz, A",STL,SS,36,153,15,40,6,0,5,14,6,18,4,1,0.261,0.288,0.399,0.686
" Almora Jr., A",CHC,CF,36,88,15,23,5,0,2,10,8,16,0,0,0.261,0.323,0.386,0.709
" Romine, A",NYY,C,22,69,7,18,2,0,2,10,4,14,0,0,0.261,0.293,0.377,0.67
" Hamilton, B",CIN,CF,37,165,29,43,4,4,1,14,12,32,20,2,0.261,0.309,0.352,0.661
" Inciarte, E",ATL,CF,38,165,26,43,6,1,5,16,13,29,7,3,0.261,0.315,0.4,0.715
" Mauer, J",MIN,1B,34,123,16,32,6,0,2,14,10,16,0,0,0.26,0.321,0.358,0.679
" Crawford, B",SF,SS,28,100,13,26,8,1,2,12,5,17,0,0,0.26,0.29,0.42,0.71
" Duvall, A",CIN,LF,39,150,21,39,9,1,9,29,11,37,2,1,0.26,0.305,0.513,0.818
" Marisnick, J",HOU,CF,30,50,11,13,1,0,4,6,6,23,3,1,0.26,0.351,0.52,0.871
" Rosales, A",OAK,SS,34,108,9,28,5,0,3,13,6,36,1,0,0.259,0.299,0.389,0.688
" Souza Jr., S",TB,RF,37,139,18,36,8,1,5,23,20,48,0,0,0.259,0.354,0.439,0.793
" Abreu, J",CWS,1B,38,147,21,38,7,1,7,21,11,29,0,0,0.259,0.323,0.463,0.786
" Bruce, J",NYM,RF,37,147,22,38,9,0,10,26,17,32,0,1,0.259,0.339,0.524,0.863
" Young, C",BOS,LF,31,89,13,23,6,0,2,11,11,18,1,2,0.258,0.337,0.393,0.73
" Bregman, A",HOU,3B,39,136,14,35,8,1,1,12,14,28,3,2,0.257,0.338,0.353,0.691
" Springer, G",HOU,RF,36,144,27,37,7,0,9,24,14,35,0,2,0.257,0.331,0.493,0.824
" Moustakas, M",KC,3B,37,148,20,38,6,0,10,22,6,30,0,0,0.257,0.29,0.5,0.79
" Cabrera, A",NYM,SS,33,113,21,29,5,0,3,14,11,20,3,1,0.257,0.339,0.381,0.719
" Healy, R",OAK,DH,40,152,16,39,8,0,7,16,8,42,0,1,0.257,0.294,0.447,0.741
" Kivlehan, P",CIN,RF,28,39,3,10,1,0,1,4,3,13,0,0,0.256,0.326,0.359,0.685
" Spangenberg, C",SD,3B,20,78,9,20,2,0,1,4,2,21,3,0,0.256,0.275,0.321,0.596
" Rupp, C",PHI,C,26,90,11,23,8,0,3,9,12,35,0,0,0.256,0.346,0.444,0.791
" Walker, N",NYM,2B,38,145,20,37,11,1,4,22,16,28,0,0,0.255,0.329,0.428,0.757
" Gonzalez, A",LAD,1B,30,98,6,25,5,0,0,12,10,18,0,0,0.255,0.324,0.306,0.63
" Morales, K",TOR,DH,39,149,17,38,7,0,7,23,9,31,0,0,0.255,0.302,0.443,0.745
" Garcia, G",STL,3B,31,51,2,13,3,0,0,2,9,12,2,0,0.255,0.377,0.314,0.691
" Anderson, T",CWS,SS,32,134,16,34,4,1,4,9,4,33,3,0,0.254,0.281,0.388,0.669
" Moreland, M",BOS,1B,40,142,20,36,16,0,3,17,23,39,0,0,0.254,0.361,0.43,0.791
" Gomes, Y",CLE,C,28,83,10,21,7,0,2,6,10,16,0,0,0.253,0.347,0.41,0.757
" Ahmed, N",ARI,SS,30,87,13,22,3,0,4,11,6,19,2,2,0.253,0.301,0.425,0.726
" Heyward, J",CHC,RF,28,99,11,25,0,1,3,17,11,19,1,2,0.253,0.333,0.364,0.697
" Kepler, M",MIN,RF,35,115,16,29,7,1,3,14,15,25,2,0,0.252,0.346,0.409,0.755
" Ramirez, H",BOS,DH,32,115,15,29,3,0,5,17,14,24,0,2,0.252,0.333,0.409,0.742
" Polanco, G",PIT,LF,34,119,15,30,11,0,1,9,14,18,6,1,0.252,0.336,0.37,0.706
" Plouffe, T",OAK,3B,39,127,17,32,5,0,6,13,12,38,1,0,0.252,0.314,0.433,0.747
" Tomas, Y",ARI,LF,36,127,17,32,9,1,8,29,11,36,0,0,0.252,0.309,0.528,0.837
" Cahill, T",SD,P,6,8,1,2,1,0,0,1,1,2,0,0,0.25,0.333,0.375,0.708
" Canha, M",OAK,1B,12,36,3,9,3,0,1,4,1,10,1,0,0.25,0.289,0.417,0.706
" Chacin, J",SD,P,10,16,0,4,0,0,0,1,0,5,0,0,0.25,0.25,0.25,0.5
" Grossman, R",MIN,DH,29,88,14,22,4,0,2,11,22,20,1,0,0.25,0.4,0.364,0.764
" Miley, W",BAL,P,2,4,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
