RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
118," Freel, R",CIN,CF,48,131,17,39,8,0,0,10,8,18,6,4,0.298,0.34,0.359,0.699
119," Tatis, F",NYM,1B,92,273,33,81,16,1,11,47,29,59,3,0,0.297,0.369,0.484,0.853
120," Lopez, J",SEA,2B,159,644,80,191,41,1,17,89,27,67,6,3,0.297,0.322,0.443,0.764
121," Votto, J",CIN,1B,151,526,69,156,32,3,24,84,59,102,7,5,0.297,0.368,0.506,0.874
122," Inglett, J",TOR,2B,109,344,45,102,15,7,3,39,28,43,9,2,0.297,0.355,0.407,0.762
122," Reyes, J",NYM,SS,159,688,113,204,37,19,16,68,66,82,56,15,0.297,0.358,0.475,0.833
124," Hessman, M",DET,3B,12,27,6,8,1,0,5,7,2,9,0,0,0.296,0.387,0.889,1.276
125," Roberts, B",BAL,2B,155,611,107,181,51,8,9,57,82,104,40,10,0.296,0.378,0.45,0.828
126," Gerut, J",SD,CF,100,328,46,97,15,4,14,43,28,52,6,4,0.296,0.351,0.494,0.845
127," Abreu, B",NYY,RF,156,609,100,180,39,4,20,100,73,109,22,11,0.296,0.371,0.471,0.843
128," Navarro, D",TB,C,120,427,43,126,27,0,7,54,34,49,0,4,0.295,0.349,0.407,0.757
129," Montanez, L",BAL,LF,38,112,18,33,6,1,3,14,4,20,0,0,0.295,0.316,0.446,0.763
130," Anderson, J",ATL,CF,40,136,21,40,7,1,3,12,8,33,10,1,0.294,0.338,0.426,0.764
130," Johnson, M",STL,C,10,17,1,5,0,0,0,2,1,2,0,0,0.294,0.333,0.294,0.627
132," Span, D",MIN,LF,93,347,70,102,16,7,6,47,50,60,18,7,0.294,0.387,0.432,0.819
133," Matsui, H",NYY,DH,93,337,43,99,17,0,9,45,38,47,0,0,0.294,0.37,0.424,0.795
134," Morgan, N",PIT,LF,58,160,26,47,13,0,0,7,10,32,9,5,0.294,0.345,0.375,0.72
135," Buscher, B",MIN,3B,70,218,29,64,9,0,4,47,19,42,0,2,0.294,0.34,0.39,0.73
136," Infante, O",ATL,3B,96,317,45,93,24,3,3,40,22,44,0,1,0.293,0.338,0.416,0.755
137," Matsui, K",HOU,2B,96,375,58,110,26,3,6,33,37,53,20,5,0.293,0.354,0.427,0.781
138," Victorino, S",PHI,CF,146,570,102,167,30,8,14,58,45,69,36,11,0.293,0.352,0.447,0.799
139," Ibanez, R",SEA,LF,162,635,85,186,43,3,23,110,64,110,2,4,0.293,0.358,0.479,0.837
140," Anderson, G",LAA,LF,145,557,66,163,27,3,15,84,29,77,7,4,0.293,0.325,0.433,0.758
141," Molina, B",SF,C,145,530,46,155,33,0,16,95,19,38,0,0,0.292,0.322,0.445,0.767
142," Cabrera, M",DET,1B,160,616,85,180,36,2,37,127,56,126,1,0,0.292,0.349,0.537,0.887
143," Blanco, H",CHC,C,58,120,15,35,3,0,3,12,6,22,0,0,0.292,0.325,0.392,0.717
144," Utley, C",PHI,2B,159,607,113,177,41,4,33,104,64,104,14,2,0.292,0.38,0.535,0.915
145," Dye, J",CWS,RF,154,590,96,172,41,2,34,96,44,104,3,2,0.292,0.344,0.541,0.885
146," Rios, A",TOR,RF,155,635,91,185,47,8,15,79,44,112,32,8,0.291,0.337,0.461,0.798
147," Drew, S",ARI,SS,152,611,91,178,44,11,21,67,41,109,3,3,0.291,0.333,0.502,0.836
148," Arias, J",TEX,2B,32,110,15,32,7,3,0,9,7,12,4,1,0.291,0.345,0.409,0.754
149," Lee, D",CHC,1B,155,623,93,181,41,3,20,90,71,119,8,2,0.291,0.361,0.462,0.823
150," Young, D",MIN,LF,152,575,80,167,28,4,10,69,35,105,14,5,0.29,0.336,0.405,0.741
151," Kemp, M",LAD,CF,155,606,93,176,38,5,18,76,46,153,35,11,0.29,0.34,0.459,0.799
152," Denorfia, C",OAK,LF,29,62,10,18,3,0,1,9,6,16,2,0,0.29,0.362,0.387,0.749
153," Barmes, C",COL,2B,107,393,47,114,25,6,11,44,17,69,13,4,0.29,0.322,0.468,0.79
154," Vazquez, R",TEX,3B,105,300,44,87,18,3,6,40,38,66,0,1,0.29,0.365,0.43,0.795
155," Ramirez, A",CWS,SS,136,480,65,139,22,2,21,77,18,61,13,9,0.29,0.317,0.475,0.792
156," Durham, R",MIL,2B,128,370,64,107,35,0,6,45,53,72,8,4,0.289,0.38,0.432,0.813
157," Loney, J",LAD,1B,161,595,66,172,35,6,13,90,45,85,7,4,0.289,0.338,0.434,0.772
158," Ramirez, A",CHC,3B,149,554,97,160,44,1,27,111,74,94,2,2,0.289,0.38,0.518,0.898
159," Escobar, Y",ATL,SS,136,514,71,148,24,2,10,60,59,62,2,5,0.288,0.366,0.401,0.766
160," Quentin, C",CWS,LF,130,480,96,138,26,1,36,100,66,80,7,3,0.288,0.394,0.571,0.965
161," Belliard, R",WSH,2B,96,296,37,85,22,0,11,46,37,58,3,2,0.287,0.372,0.473,0.845
162," Rodriguez, L",SD,SS,64,202,22,58,11,1,0,12,13,13,1,1,0.287,0.326,0.351,0.677
